,Name,Education,Undergraduate,Master's
86,Jules Maltz,"Bachelor of Arts/Science, Yale University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Yale University","Master of Business Administration, Stanford University"
87,Mamoon Hamid,"Bachelor of Science in Engineering, Purdue University; Master of Science, Stanford University; Master of Business Administration, Harvard Business School","Bachelor of Science in Engineering, Purdue University","Master of Business Administration, Harvard University"
88,Theresia Gouw,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Brown University","Master of Business Administration, Stanford University"
89,Steven Ji,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics; Master of Business Administration, China Europe International Business School","Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics","Master of Business Administration, China Europe International Business School"
90,Rich Wong,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Business Administration, Sloan School of Management","Bachelor of Arts/Science, Massachusetts Institute of Technology","Master of Business Administration, Massachusetts Institute of Technology"
91,Asheem Chandna,"Bachelor of Arts/Science, Case Western Reserve University; Master of Science, Case Western Reserve University","Bachelor of Arts/Science, Case Western Reserve University","Master of Science, Case Western Reserve University"
92,Jeff Crowe,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Stanford University"
93,Salil Deshpande,"Bachelor of Arts/Science, Cornell University; Master of Science, Stanford University","Bachelor of Arts/Science, Cornell University","Master of Science, Stanford University"
94,Sonali De Rycker,"Bachelor of Arts/Science, Bryn Mawr College; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Bryn Mawr College","Master of Business Administration, Harvard University"
95,Young Guo,"Bachelor of Science in Engineering, Shanghai Jiaotong University; Ph.D, University of Massachusetts, Amherst; Master of Business Administration, Columbia University","Bachelor of Science in Engineering, Shanghai Jiaotong University","Master of Business Administration, Columbia University"
96,Aileen Lee,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Massachusetts Institute of Technology","Master of Business Administration, Harvard University"
97,Ping Li,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Stanford University"
98,John Vrionis,"Bachelor of Arts/Science, Harvard University; Master of Science, University of Chicago; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Stanford University"
99,Jan Hammer,"Master of Arts, Oxford University; Master of Business Administration, INSEAD","Master of Arts, Oxford University","Master of Business Administration, INSEAD"
100,Chris Sacca,"Bachelor of Arts/Science, Georgetown University; Doctor of Jurisprudence, Georgetown University","Bachelor of Arts/Science, Georgetown University","Doctor of Jurisprudence, Georgetown University"
101,Paul Madera,"Bachelor of Arts/Science, United States Air Force Academy; Masters of Public Administration, University of Oklahoma; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, United States Air Force Academy","Master of Business Administration, Stanford University"
102,Danny Rimer,"Bachelor of Arts/Science, Harvard University","Bachelor of Arts/Science, Harvard University",N/A
103,Promod Haque,"Bachelor of Arts/Science, Delhi College of Engineering; Master of Business Administration, Kellogg School of Management","Bachelor of Arts/Science, Delhi College of Engineering","Master of Business Administration, Northwestern University"
104,David Sze,"Bachelor of Arts/Science, Yale University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Yale University","Master of Business Administration, Stanford University"
105,Reid Hoffman,"Bachelor of Arts/Science, Stanford University; Master of Science, Oxford University","Bachelor of Arts/Science, Stanford University","Master of Science, Oxford University"
106,Jixun Foo,"Bachelor of Science in Engineering, National University of Singapore; Master of Science, National University of Singapore","Bachelor of Science in Engineering, National University of Singapore","Master of Science, National University of Singapore"
107,Harry Weller,"Bachelor of Arts/Science, Duke University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Duke University","Master of Business Administration, Harvard University"
108,Ann Lamont,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University",N/A
109,Michael Goguen,"Bachelor of Arts/Science, Cornell University; Master of Science, Stanford University","Bachelor of Arts/Science, Cornell University","Master of Science, Stanford University"
110,Charles Moldow,"Bachelor of Arts/Science, Wharton School; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, University of Pennsylvania","Master of Business Administration, Harvard University"
111,Bijan Sabet,"Bachelor of Arts/Science, Boston College","Bachelor of Arts/Science, Boston College",N/A
112,Kevin Efrusy,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Stanford University"
113,Ken Howery,"Bachelor of Arts/Science, Stanford University","Bachelor of Arts/Science, Stanford University",N/A
114,Sandy Miller,"Bachelor of Arts/Science, University of Virginia; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University","Bachelor of Arts/Science, University of Virginia","Master of Business Administration, Stanford University"
115,George Zachary,"Bachelor of Arts/Science, Massachusetts Institute of Technology","Bachelor of Arts/Science, Massachusetts Institute of Technology",N/A
116,Richard Liu,"Bachelor of Arts/Science, University of Science and Technology Beijing; Master of Business Administration, China Europe International Business School","Bachelor of Arts/Science, University of Science and Technology Beijing","Master of Business Administration, China Europe International Business School"
117,George Bischof,"Bachelor of Arts/Science, Stanford University; Master of Business Administration, Kellogg School of Management","Bachelor of Arts/Science, Stanford University","Master of Business Administration, Northwestern University"
118,Rob Ward,"Bachelor of Arts/Science, Williams College; Master of Science, Massachusetts Institute of Technology","Bachelor of Arts/Science, Williams College","Master of Science, Massachusetts Institute of Technology"
119,Josh Stein,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Stanford University"
120,Bruce Golden,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Columbia University","Master of Business Administration, Stanford University"
121,Shervin Pishevar,"Bachelor of Arts/Science, University of California, Berkeley","Bachelor of Arts/Science, University of California, Berkeley",N/A
122,David Lee,"Bachelor of Arts/Science, Johns Hopkins University; Master of Science, Stanford University; Doctor of Jurisprudence, New York University","Bachelor of Arts/Science, Johns Hopkins University","Doctor of Jurisprudence, New York University"
123,Izhar Armony,"Master of Business Administration, Wharton School; Master of Arts, University of Pennsylvania","Master of Arts, University of Pennsylvania","Master of Business Administration, University of Pennsylvania"
124,Venky Ganesan,"Bachelor of Arts/Science, Reed College; Bachelor of Arts / Science, California Institute of Technology","Bachelor of Arts/Science, Reed College",N/A
125,Suyang Zhang,"Bachelor of Arts/Science, Shanghai University; EMBA, China Europe International Business School","Bachelor of Arts/Science, Shanghai University","EMBA, China Europe International Business School"
126,Satish Dharmaraj,"Bachelor of Arts/Science, Clemson University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Clemson University","Master of Business Administration, Harvard University"
127,Shawn Carolan,"Bachelor of Science/Master of Science, University of Illinois at Urbana; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Science/Master of Science, University of Illinois at Urbana","Master of Business Administration, Stanford University"
128,Peter Wagner,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Harvard University"
129,Mike Volpi,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Stanford University","Master of Science, Stanford University"
130,Ben Nye,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Harvard University","Master of Business Administration, Harvard University"
131,Gordon Ritter,"Bachelor of Arts/Science, Princeton University","Bachelor of Arts/Science, Princeton University",N/A
132,Michael Dearing,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Brown University","Master of Business Administration, Harvard University"
133,Michael Moritz,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, Wharton School","Bachelor of Arts/Science, Christ Church Oxford University","Master of Business Administration, University of Pennsylvania"
134,Aneel Bhusri,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Brown University","Master of Business Administration, Stanford University"
135,Bill Trenchard,"Bachelor of Arts/Science, Cornell University","Bachelor of Arts/Science, Cornell University",N/A
136,Dave Mcclure,"Bachelor of Arts/Science, Johns Hopkins University","Bachelor of Arts/Science, Johns Hopkins University",N/A
137,Jeff Clavier,"N/A; Master of Science, Universite Paris Descartes",N/A,"Master of Science, Universite Paris Descartes"
138,David Fialkow,"Bachelor of Arts/Science, Colgate University; Doctor of Jurisprudence, Boston College","Bachelor of Arts/Science, Colgate University","Doctor of Jurisprudence, Boston College"
139,Stuart Peterson,"Bachelor of Arts/Science, University of California, Los Angeles; Master of Business Administration, University of Chicago","Bachelor of Arts/Science, University of California Los Angeles","Master of Business Administration, University of Chicago"
140,Jason Green,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Dartmouth College","Master of Business Administration, Harvard University"
141,Scott Raney,"Bachelor of Arts/Science, Duke University; Master of Business Administration, Harvard Business School","Bachelor of Arts/Science, Duke University","Master of Business Administration, Harvard University"
142,Ben Holmes,"N/A; Master of Science, Oxford University",N/A,"Master of Science, Oxford University"
143,Forest Baskett,"Bachelor of Arts/Science, Rice University; Doctorate, The University of Texas at Austin","Bachelor of Arts/Science, Rice University","Doctorate, The University of Texas at Austin"
144,James Topper,"Bachelor of Arts/Science, University of Michigan; Medical Doctor, Stanford University; Ph.D, Stanford University","Bachelor of Arts/Science, University of Michigan","Medical Doctor, Stanford University"
145,Stephen Jurvetson,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University; Master of Business Administration, Stanford Graduate School of Business","Bachelor of Arts/Science, Stanford University","Master of Science, Stanford University"
